id_celda,sitio,tecnologia,banda_mhz,tipo_sector,partido_comuna,comuna,localidad,provincia,region,subregion,cabecera
WCS075Z,CS075,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS076A,CS076,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS076X,CS076,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS076Y,CS076,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS076Z,CS076,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS077X,CS077,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS077Y,CS077,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS077Z,CS077,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS078B,CS078,3G,850,Outdoor,CABA COMUNA 05,5,BOEDO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS078X,CS078,3G,850,Outdoor,CABA COMUNA 05,5,BOEDO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS078Y,CS078,3G,850,Outdoor,CABA COMUNA 05,5,BOEDO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS078Z,CS078,3G,850,Outdoor,CABA COMUNA 05,5,BOEDO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS079A,CS079,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS079C,CS079,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS079E,CS079,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS079Z,CS079,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS080C,CS080,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS080X,CS080,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS081B,CS081,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS081X,CS081,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS081Y,CS081,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS081Z,CS081,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS090X,CS090,3G,850,Outdoor,CABA COMUNA 06,6,CABALLITO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS090Y,CS090,3G,850,Outdoor,CABA COMUNA 06,6,CABALLITO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS090Z,CS090,3G,850,Outdoor,CABA COMUNA 06,6,CABALLITO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS091B,CS091,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS091C,CS091,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS092A,CS092,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS092C,CS092,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS092Z,CS092,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS094B,CS094,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095B,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095C,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095R,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095S,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095T,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095X,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095Y,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS095Z,CS095,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS096Y,CS096,3G,850,Outdoor,CABA COMUNA 09,9,PARQUE AVELLANEDA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS096Z,CS096,3G,850,Outdoor,CABA COMUNA 09,9,PARQUE AVELLANEDA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS097X,CS097,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS097Y,CS097,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS097Z,CS097,3G,850,Outdoor,CABA COMUNA 03,3,BALVANERA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS098X,CS098,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS098Y,CS098,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS098Z,CS098,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS099B,CS099,3G,850,Outdoor,CABA COMUNA 03,3,SAN CRISTOBAL,CABA,AMBA,CF,CAPITAL FEDERAL
WCS099C,CS099,3G,850,Outdoor,CABA COMUNA 03,3,SAN CRISTOBAL,CABA,AMBA,CF,CAPITAL FEDERAL
WCS099X,CS099,3G,850,Outdoor,CABA COMUNA 03,3,SAN CRISTOBAL,CABA,AMBA,CF,CAPITAL FEDERAL
WCS099Y,CS099,3G,850,Outdoor,CABA COMUNA 03,3,SAN CRISTOBAL,CABA,AMBA,CF,CAPITAL FEDERAL
WCS099Z,CS099,3G,850,Outdoor,CABA COMUNA 03,3,SAN CRISTOBAL,CABA,AMBA,CF,CAPITAL FEDERAL
WCS100E,CS100,3G,850,Outdoor,CABA COMUNA 04,4,LA BOCA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS100F,CS100,3G,850,Outdoor,CABA COMUNA 04,4,LA BOCA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS100X,CS100,3G,850,Outdoor,CABA COMUNA 04,4,LA BOCA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS100Y,CS100,3G,850,Outdoor,CABA COMUNA 04,4,LA BOCA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS100Z,CS100,3G,850,Outdoor,CABA COMUNA 04,4,LA BOCA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS101Y,CS101,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS101Z,CS101,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS102X,CS102,3G,850,Outdoor,CABA COMUNA 10,10,VELEZ SARSFIELD,CABA,AMBA,CF,CAPITAL FEDERAL
WCS102Y,CS102,3G,850,Outdoor,CABA COMUNA 10,10,VELEZ SARSFIELD,CABA,AMBA,CF,CAPITAL FEDERAL
WCS102Z,CS102,3G,850,Outdoor,CABA COMUNA 10,10,VELEZ SARSFIELD,CABA,AMBA,CF,CAPITAL FEDERAL
WCS103X,CS103,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS103Y,CS103,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS103Z,CS103,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS105X,CS105,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS105Y,CS105,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS105Z,CS105,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS106B,CS106,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS106X,CS106,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS106Y,CS106,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS106Z,CS106,3G,850,Outdoor,CABA COMUNA 09,9,LINIERS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS107A,CS107,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS107X,CS107,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS107Y,CS107,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS107Z,CS107,3G,850,Outdoor,CABA COMUNA 09,9,MATADEROS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS109B,CS109,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS109C,CS109,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS109Y,CS109,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS109Z,CS109,3G,850,Outdoor,CABA COMUNA 01,1,MONSERRAT,CABA,AMBA,CF,CAPITAL FEDERAL
WCS111B,CS111,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS111C,CS111,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS111X,CS111,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS111Z,CS111,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS112C,CS112,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS112X,CS112,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS112Y,CS112,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS112Z,CS112,3G,850,Outdoor,CABA COMUNA 07,7,PARQUE CHACABUCO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS113A,CS113,3G,850,Outdoor,CABA COMUNA 05,5,ALMAGRO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS113B,CS113,3G,850,Outdoor,CABA COMUNA 05,5,ALMAGRO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS113X,CS113,3G,850,Outdoor,CABA COMUNA 05,5,ALMAGRO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS113Y,CS113,3G,850,Outdoor,CABA COMUNA 05,5,ALMAGRO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS113Z,CS113,3G,850,Outdoor,CABA COMUNA 05,5,ALMAGRO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS114C,CS114,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS114X,CS114,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
